[DATE]
2025/3/13 14:26:10

[PROJECT NAME]
current_control_ver2_new

[WAVE MEMO]
Title:

Author:

Memo:


[WAVE DATA]
Time[Sec], CH1, CH2, CH3, CH4, CH5, CH6, CH7, CH8, CH9, CH10, CH11, CH12, CH13, CH14, CH15, CH16
         , WAVE_qm_ref1, WAVE_qm_ref2, WAVE_qm_ref3, WAVE_qm1, WAVE_qm2, WAVE_qm3, WAVE_al_calc1, WAVE_al_calc2, WAVE_al_calc3, WAVE_ql_calc1, WAVE_ql_calc2, flag_pv, WAVE_Timer0, WAVE_Timer1, WAVE_Timer2, flag_cont_start
-0.002310,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574227e-001,  1.000000e+000,  1.575840e+001,  1.331520e+001,  8.813280e+001,  2.000000e+000
-0.002300,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574227e-001,  1.000000e+000,  1.575840e+001,  1.331520e+001,  8.813280e+001,  2.000000e+000
-0.002290,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574227e-001,  1.000000e+000,  1.575840e+001,  1.331520e+001,  8.813280e+001,  2.000000e+000
-0.002280,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574227e-001,  0.000000e+000,  1.575840e+001,  1.331520e+001,  8.813280e+001,  2.000000e+000
-0.002270,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574227e-001,  0.000000e+000,  1.575840e+001,  1.336320e+001,  8.813280e+001,  2.000000e+000
-0.002260,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002249,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002239,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002229,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002219,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002209,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002199,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002189,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002179,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002169,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002159,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002149,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.575840e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002139,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.543200e+001,  1.336320e+001,  8.595360e+001,  2.000000e+000
-0.002129,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.543200e+001,  1.336320e+001,  8.740800e+001,  2.000000e+000
-0.002119,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.543200e+001,  1.336320e+001,  8.740800e+001,  2.000000e+000
-0.002109,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.543200e+001,  1.336320e+001,  8.740800e+001,  2.000000e+000
-0.002099,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.543200e+001,  1.336320e+001,  8.740800e+001,  2.000000e+000
-0.002089,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.543200e+001,  1.336320e+001,  8.740800e+001,  2.000000e+000
-0.002079,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.543200e+001,  1.336320e+001,  8.740800e+001,  2.000000e+000
-0.002069,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.543200e+001,  1.336320e+001,  8.740800e+001,  2.000000e+000
-0.002059,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.543200e+001,  1.336320e+001,  8.740800e+001,  2.000000e+000
-0.002049,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.543200e+001,  1.336320e+001,  8.740800e+001,  2.000000e+000
-0.002039,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  1.000000e+000,  1.543200e+001,  1.336320e+001,  8.740800e+001,  2.000000e+000
-0.002029,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.543200e+001,  1.336320e+001,  8.740800e+001,  2.000000e+000
-0.002019,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574228e-001,  0.000000e+000,  1.543200e+001,  1.331040e+001,  8.740800e+001,  2.000000e+000
-0.002009,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.543200e+001,  1.331040e+001,  8.585760e+001,  2.000000e+000
-0.001999,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.543200e+001,  1.331040e+001,  8.585760e+001,  2.000000e+000
-0.001989,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.543200e+001,  1.331040e+001,  8.585760e+001,  2.000000e+000
-0.001979,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.543200e+001,  1.331040e+001,  8.585760e+001,  2.000000e+000
-0.001969,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.543200e+001,  1.331040e+001,  8.585760e+001,  2.000000e+000
-0.001959,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.543200e+001,  1.331040e+001,  8.585760e+001,  2.000000e+000
-0.001949,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.543200e+001,  1.331040e+001,  8.585760e+001,  2.000000e+000
-0.001939,  1.100184e+000,  8.715966e+001,  1.586807e+000,  0.000000e+000,  0.000000e+000,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.543200e+001,  1.331040e+001,  8.585760e+001,  2.000000e+000
